nohup: ignoring input
Parameter Count: 5257536
Training with 4848 image pairs
[  7300,  0.0003903]     0.9721,     0.9993,     1.0000,     0.2795, 
[  7400,  0.0003899]     0.9708,     0.9991,     1.0000,     0.2826, 
[  7500,  0.0003895]     0.9703,     0.9988,     0.9999,     0.2863, 
[  7600,  0.0003891]     0.9742,     0.9993,     1.0000,     0.2778, 
[  7700,  0.0003887]     0.9720,     0.9991,     1.0000,     0.2818, 
[  7800,  0.0003882]     0.9717,     0.9991,     1.0000,     0.2767, 
[  7900,  0.0003878]     0.9716,     0.9990,     1.0000,     0.2760, 
[  8000,  0.0003874]     0.9720,     0.9991,     1.0000,     0.2748, 
[  8100,  0.0003870]     0.9718,     0.9987,     1.0000,     0.2782, 
[  8200,  0.0003866]     0.9733,     0.9992,     1.0000,     0.2736, 
[  8300,  0.0003861]     0.9757,     0.9992,     1.0000,     0.2676, 
[  8400,  0.0003857]     0.9721,     0.9992,     1.0000,     0.2735, 
[  8500,  0.0003853]     0.9749,     0.9991,     1.0000,     0.2665, 
[  8600,  0.0003849]     0.9744,     0.9989,     1.0000,     0.2682, 
[  8700,  0.0003845]     0.9742,     0.9992,     1.0000,     0.2644, 
[  8800,  0.0003840]     0.9739,     0.9992,     0.9999,     0.2690, 
[  8900,  0.0003836]     0.9744,     0.9992,     1.0000,     0.2648, 
[  9000,  0.0003832]     0.9739,     0.9993,     0.9999,     0.2674, 
[  9100,  0.0003828]     0.9762,     0.9992,     1.0000,     0.2616, 
[  9200,  0.0003824]     0.9761,     0.9994,     1.0000,     0.2581, 
[  9300,  0.0003819]     0.9763,     0.9993,     1.0000,     0.2583, 
[  9400,  0.0003815]     0.9760,     0.9992,     1.0000,     0.2581, 
[  9500,  0.0003811]     0.9778,     0.9993,     1.0000,     0.2495, 
[  9600,  0.0003807]     0.9772,     0.9991,     1.0000,     0.2484, 
[  9700,  0.0003803]     0.9747,     0.9991,     1.0000,     0.2601, 
[  9800,  0.0003798]     0.9769,     0.9990,     1.0000,     0.2516, 
[  9900,  0.0003794]     0.9783,     0.9990,     1.0000,     0.2477, 
[ 10000,  0.0003790]     0.9756,     0.9993,     1.0000,     0.2589, 
Testring with 1212 image pairs
Validation simulations: 0.276859, 0.125363
[ 10100,  0.0003786]     0.9769,     0.9991,     1.0000,     0.2557, 
[ 10200,  0.0003781]     0.9784,     0.9992,     1.0000,     0.2476, 
[ 10300,  0.0003777]     0.9756,     0.9992,     1.0000,     0.2554, 
[ 10400,  0.0003773]     0.9774,     0.9990,     0.9999,     0.2488, 
[ 10500,  0.0003769]     0.9764,     0.9991,     1.0000,     0.2532, 
[ 10600,  0.0003765]     0.9786,     0.9993,     1.0000,     0.2506, 
[ 10700,  0.0003760]     0.9766,     0.9991,     1.0000,     0.2466, 
[ 10800,  0.0003756]     0.9768,     0.9991,     1.0000,     0.2550, 
[ 10900,  0.0003752]     0.9769,     0.9992,     1.0000,     0.2557, 
[ 11000,  0.0003748]     0.9777,     0.9990,     0.9999,     0.2472, 
[ 11100,  0.0003744]     0.9813,     0.9993,     1.0000,     0.2352, 
[ 11200,  0.0003739]     0.9783,     0.9993,     1.0000,     0.2441, 
[ 11300,  0.0003735]     0.9779,     0.9991,     1.0000,     0.2471, 
[ 11400,  0.0003731]     0.9769,     0.9992,     1.0000,     0.2465, 
[ 11500,  0.0003727]     0.9801,     0.9993,     1.0000,     0.2433, 
[ 11600,  0.0003723]     0.9793,     0.9993,     1.0000,     0.2435, 
[ 11700,  0.0003718]     0.9777,     0.9991,     0.9999,     0.2547, 
[ 11800,  0.0003714]     0.9778,     0.9991,     1.0000,     0.2411, 
[ 11900,  0.0003710]     0.9815,     0.9992,     1.0000,     0.2388, 
[ 12000,  0.0003706]     0.9781,     0.9991,     1.0000,     0.2426, 
[ 12100,  0.0003702]     0.9783,     0.9991,     1.0000,     0.2438, 
[ 12200,  0.0003697]     0.9780,     0.9991,     1.0000,     0.2489, 
[ 12300,  0.0003693]     0.9798,     0.9993,     1.0000,     0.2385, 
[ 12400,  0.0003689]     0.9794,     0.9992,     1.0000,     0.2439, 
[ 12500,  0.0003685]     0.9794,     0.9993,     1.0000,     0.2477, 
[ 12600,  0.0003681]     0.9792,     0.9993,     1.0000,     0.2406, 
[ 12700,  0.0003676]     0.9784,     0.9993,     1.0000,     0.2429, 
[ 12800,  0.0003672]     0.9787,     0.9991,     1.0000,     0.2432, 
[ 12900,  0.0003668]     0.9758,     0.9989,     0.9999,     0.2588, 
[ 13000,  0.0003664]     0.9783,     0.9990,     1.0000,     0.2474, 
[ 13100,  0.0003659]     0.9792,     0.9991,     1.0000,     0.2458, 
[ 13200,  0.0003655]     0.9788,     0.9993,     1.0000,     0.2444, 
[ 13300,  0.0003651]     0.9805,     0.9992,     1.0000,     0.2346, 
[ 13400,  0.0003647]     0.9796,     0.9992,     0.9999,     0.2425, 
[ 13500,  0.0003643]     0.9755,     0.9991,     1.0000,     0.2466, 
[ 13600,  0.0003638]     0.9799,     0.9992,     1.0000,     0.2366, 
[ 13700,  0.0003634]     0.9798,     0.9994,     1.0000,     0.2422, 
[ 13800,  0.0003630]     0.9803,     0.9994,     1.0000,     0.2375, 
[ 13900,  0.0003626]     0.9811,     0.9992,     1.0000,     0.2338, 
[ 14000,  0.0003622]     0.9778,     0.9991,     1.0000,     0.2447, 
[ 14100,  0.0003617]     0.9740,     0.9990,     1.0000,     0.2693, 
[ 14200,  0.0003613]     0.9798,     0.9991,     1.0000,     0.2416, 
[ 14300,  0.0003609]     0.9795,     0.9993,     1.0000,     0.2420, 
[ 14400,  0.0003605]     0.9784,     0.9994,     1.0000,     0.2500, 
[ 14500,  0.0003601]     0.9774,     0.9993,     1.0000,     0.2480, 
[ 14600,  0.0003596]     0.9782,     0.9992,     1.0000,     0.2450, 
[ 14700,  0.0003592]     0.9805,     0.9994,     1.0000,     0.2379, 
[ 14800,  0.0003588]     0.9781,     0.9991,     1.0000,     0.2471, 
[ 14900,  0.0003584]     0.9780,     0.9990,     0.9999,     0.2516, 
[ 15000,  0.0003580]     0.9779,     0.9993,     1.0000,     0.2486, 
Testring with 1212 image pairs
Validation simulations: 0.244076, 0.113896
[ 15100,  0.0003575]     0.9789,     0.9992,     1.0000,     0.2484, 
[ 15200,  0.0003571]     0.9796,     0.9991,     1.0000,     0.2432, 
[ 15300,  0.0003567]     0.9797,     0.9991,     1.0000,     0.2410, 
[ 15400,  0.0003563]     0.9767,     0.9990,     1.0000,     0.2526, 
